Name,API Name,Instance Memory,vCPUs,Instance Storage,Network Performance,On Demand,Linux Reserved cost,Linux Spot Minimum cost,Windows On Demand cost,Windows Reserved cost
A1 Medium,a1.medium,2 GiB,1 vCPUs,EBS only,Up to 10 Gigabit,$0.0255 hourly,$0.0161 hourly,$0.0255 hourly,unavailable,unavailable
A1 Large,a1.large,4 GiB,2 vCPUs,EBS only,Up to 10 Gigabit,$0.051 hourly,$0.0321 hourly,$0.051 hourly,unavailable,unavailable
A1 Extra Large,a1.xlarge,8 GiB,4 vCPUs,EBS only,Up to 10 Gigabit,$0.102 hourly,$0.0643 hourly,$0.102 hourly,unavailable,unavailable
A1 Double Extra Large,a1.2xlarge,16 GiB,8 vCPUs,EBS only,Up to 10 Gigabit,$0.204 hourly,$0.1285 hourly,$0.204 hourly,unavailable,unavailable
A1 Quadruple Extra Large,a1.4xlarge,32 GiB,16 vCPUs,EBS only,Up to 10 Gigabit,$0.408 hourly,$0.257 hourly,$0.408 hourly,unavailable,unavailable
A1 Metal,a1.metal,32 GiB,16 vCPUs,EBS only,Up to 10 Gigabit,$0.408 hourly,$0.257 hourly,$0.408 hourly,unavailable,unavailable
C1 High-CPU Medium,c1.medium,1.7 GiB,2 vCPUs,350 GB HDD,Moderate,$0.13 hourly,$0.091 hourly,$0.0434 hourly,$0.21 hourly,$0.179 hourly
C1 High-CPU Extra Large,c1.xlarge,7 GiB,8 vCPUs,1680 GB (4×420 GB HDD),High,$0.52 hourly,$0.364 hourly,$0.2153 hourly,$0.84 hourly,$0.719 hourly
C3 High-CPU Large,c3.large,3.75 GiB,2 vCPUs,32 GB (2×16 GB SSD),Moderate,$0.105 hourly,$0.073 hourly,$0.0395 hourly,$0.188 hourly,$0.165 hourly
C3 High-CPU Extra Large,c3.xlarge,7.5 GiB,4 vCPUs,80 GB (2×40 GB SSD),Moderate,$0.21 hourly,$0.146 hourly,$0.0848 hourly,$0.376 hourly,$0.329 hourly
C3 High-CPU Double Extra Large,c3.2xlarge,15 GiB,8 vCPUs,160 GB (2×80 GB SSD),High,$0.42 hourly,$0.292 hourly,$0.1895 hourly,$0.752 hourly,$0.657 hourly
C3 High-CPU Quadruple Extra Large,c3.4xlarge,30 GiB,16 vCPUs,320 GB (2×160 GB SSD),High,$0.84 hourly,$0.584 hourly,$0.3341 hourly,$1.504 hourly,$1.317 hourly
C3 High-CPU Eight Extra Large,c3.8xlarge,60 GiB,32 vCPUs,640 GB (2×320 GB SSD),10 Gigabit,$1.68 hourly,$1.168 hourly,$0.5915 hourly,$3.008 hourly,$2.631 hourly
C4 High-CPU Large,c4.large,3.75 GiB,2 vCPUs,EBS only,Moderate,$0.10 hourly,$0.063 hourly,$0.037 hourly,$0.192 hourly,$0.155 hourly
C4 High-CPU Extra Large,c4.xlarge,7.5 GiB,4 vCPUs,EBS only,High,$0.199 hourly,$0.126 hourly,$0.0681 hourly,$0.383 hourly,$0.31 hourly
C4 High-CPU Double Extra Large,c4.2xlarge,15 GiB,8 vCPUs,EBS only,High,$0.398 hourly,$0.252 hourly,$0.1605 hourly,$0.766 hourly,$0.62 hourly
C4 High-CPU Quadruple Extra Large,c4.4xlarge,30 GiB,16 vCPUs,EBS only,High,$0.796 hourly,$0.504 hourly,$0.2959 hourly,$1.532 hourly,$1.24 hourly
C4 High-CPU Eight Extra Large,c4.8xlarge,60 GiB,36 vCPUs,EBS only,10 Gigabit,$1.591 hourly,$1.008 hourly,$0.5856 hourly,$3.091 hourly,$2.664 hourly
C5 High-CPU Large,c5.large,4 GiB,2 vCPUs,EBS only,Up to 10 Gigabit,$0.085 hourly,$0.054 hourly,$0.0307 hourly,$0.177 hourly,$0.146 hourly
C5 High-CPU Extra Large,c5.xlarge,8 GiB,4 vCPUs,EBS only,Up to 10 Gigabit,$0.17 hourly,$0.107 hourly,$0.0685 hourly,$0.354 hourly,$0.291 hourly
C5 High-CPU Double Extra Large,c5.2xlarge,16 GiB,8 vCPUs,EBS only,Up to 10 Gigabit,$0.34 hourly,$0.214 hourly,$0.1299 hourly,$0.708 hourly,$0.582 hourly
C5 High-CPU Quadruple Extra Large,c5.4xlarge,32 GiB,16 vCPUs,EBS only,Up to 10 Gigabit,$0.68 hourly,$0.428 hourly,$0.2393 hourly,$1.416 hourly,$1.164 hourly
C5 High-CPU 9xlarge,c5.9xlarge,72 GiB,36 vCPUs,EBS only,12 Gigabit,$1.53 hourly,$0.964 hourly,$0.5824 hourly,$3.186 hourly,$2.62 hourly
C5 High-CPU 12xlarge Extra Large,c5.12xlarge,96 GiB,48 vCPUs,EBS only,12 Gigabit,$2.04 hourly,$1.285 hourly,$0.6864 hourly,$4.248 hourly,$3.493 hourly
C5 High-CPU 18xlarge,c5.18xlarge,144 GiB,72 vCPUs,EBS only,25 Gigabit,$3.06 hourly,$1.928 hourly,$0.9945 hourly,$6.372 hourly,$5.24 hourly
C5 High-CPU 24xlarge,c5.24xlarge,192 GiB,96 vCPUs,EBS only,25 Gigabit,$4.08 hourly,$2.57 hourly,$1.3242 hourly,$8.496 hourly,$6.986 hourly
C5 High-CPU Metal,c5.metal,192 GiB,96 vCPUs,EBS only,25 Gigabit,$4.08 hourly,$2.57 hourly,$1.3089 hourly,$8.496 hourly,$6.986 hourly
C5A Large,c5a.large,4 GiB,2 vCPUs,EBS only,Up to 10 Gigabit,$0.077 hourly,$0.049 hourly,$0.0295 hourly,$0.169 hourly,$0.141 hourly
C5A Extra Large,c5a.xlarge,8 GiB,4 vCPUs,EBS only,Up to 10 Gigabit,$0.154 hourly,$0.097 hourly,$0.07 hourly,$0.338 hourly,$0.281 hourly
C5A Double Extra Large,c5a.2xlarge,16 GiB,8 vCPUs,EBS only,Up to 10 Gigabit,$0.308 hourly,$0.194 hourly,$0.1233 hourly,$0.676 hourly,$0.562 hourly
C5A Quadruple Extra Large,c5a.4xlarge,32 GiB,16 vCPUs,EBS only,Up to 10 Gigabit,$0.616 hourly,$0.388 hourly,$0.2576 hourly,$1.352 hourly,$1.124 hourly
C5A Eight Extra Large,c5a.8xlarge,64 GiB,32 vCPUs,EBS only,10 Gigabit,$1.232 hourly,$0.776 hourly,$0.5205 hourly,$2.704 hourly,$2.248 hourly
C5A 12xlarge Extra Large,c5a.12xlarge,96 GiB,48 vCPUs,EBS only,12 Gigabit,$1.848 hourly,$1.164 hourly,$0.6442 hourly,$4.056 hourly,$3.372 hourly
C5A 16xlarge Extra Large,c5a.16xlarge,128 GiB,64 vCPUs,EBS only,20 Gigabit,$2.464 hourly,$1.552 hourly,$0.9739 hourly,$5.408 hourly,$4.496 hourly
C5A 24xlarge,c5a.24xlarge,192 GiB,96 vCPUs,EBS only,20 Gigabit,$3.696 hourly,$2.328 hourly,$1.3884 hourly,$8.112 hourly,$6.744 hourly
C5AD Large,c5ad.large,4 GiB,2 vCPUs,75 GB NVMe SSD,Up to 10 Gigabit,$0.086 hourly,$0.054 hourly,$0.0333 hourly,$0.178 hourly,$0.146 hourly
C5AD Extra Large,c5ad.xlarge,8 GiB,4 vCPUs,150 GB NVMe SSD,Up to 10 Gigabit,$0.172 hourly,$0.108 hourly,$0.07 hourly,$0.356 hourly,$0.292 hourly
C5AD Double Extra Large,c5ad.2xlarge,16 GiB,8 vCPUs,300 GB NVMe SSD,Up to 10 Gigabit,$0.344 hourly,$0.217 hourly,$0.1509 hourly,$0.712 hourly,$0.585 hourly
C5AD Quadruple Extra Large,c5ad.4xlarge,32 GiB,16 vCPUs,600 GB (2×300 GB NVMe SSD),Up to 10 Gigabit,$0.688 hourly,$0.433 hourly,$0.2748 hourly,$1.424 hourly,$1.169 hourly
C5AD Eight Extra Large,c5ad.8xlarge,64 GiB,32 vCPUs,1200 GB (2×600 GB NVMe SSD),10 Gigabit,$1.376 hourly,$0.867 hourly,$0.5426 hourly,$2.848 hourly,$2.339 hourly
C5AD 12xlarge Extra Large,c5ad.12xlarge,96 GiB,48 vCPUs,1800 GB (2×900 GB NVMe SSD),12 Gigabit,$2.064 hourly,$1.30 hourly,$0.801 hourly,$4.272 hourly,$3.508 hourly
C5AD 16xlarge Extra Large,c5ad.16xlarge,128 GiB,64 vCPUs,2400 GB (2×1200 GB NVMe SSD),20 Gigabit,$2.752 hourly,$1.734 hourly,$1.0219 hourly,$5.696 hourly,$4.678 hourly
C5AD 24xlarge,c5ad.24xlarge,192 GiB,96 vCPUs,3800 GB (2×1900 GB NVMe SSD),20 Gigabit,$4.128 hourly,$2.601 hourly,$1.5536 hourly,$8.544 hourly,$7.017 hourly
C5 High-CPU Large,c5d.large,4 GiB,2 vCPUs,50 GB NVMe SSD,Up to 10 Gigabit,$0.096 hourly,$0.06 hourly,$0.0374 hourly,$0.188 hourly,$0.152 hourly
C5 High-CPU Extra Large,c5d.xlarge,8 GiB,4 vCPUs,100 GB NVMe SSD,Up to 10 Gigabit,$0.192 hourly,$0.121 hourly,$0.0732 hourly,$0.376 hourly,$0.305 hourly
C5 High-CPU Double Extra Large,c5d.2xlarge,16 GiB,8 vCPUs,200 GB NVMe SSD,Up to 10 Gigabit,$0.384 hourly,$0.242 hourly,$0.1674 hourly,$0.752 hourly,$0.61 hourly
C5 High-CPU Quadruple Extra Large,c5d.4xlarge,32 GiB,16 vCPUs,400 GB NVMe SSD,Up to 10 Gigabit,$0.768 hourly,$0.484 hourly,$0.3544 hourly,$1.504 hourly,$1.22 hourly
C5 High-CPU 9xlarge,c5d.9xlarge,72 GiB,36 vCPUs,900 GB NVMe SSD,12 Gigabit,$1.728 hourly,$1.089 hourly,$0.6148 hourly,$3.384 hourly,$2.745 hourly
