Name,API Name,Instance Memory,vCPUs,Instance Storage,Network Performance,On Demand,Linux Reserved cost,Linux Spot Minimum cost,Windows On Demand cost,Windows Reserved cost
A1 Medium,a1.medium,2 GiB,1 vCPUs,EBS only,Up to 10 Gigabit,$0.0321 hourly / vCPU,$0.0202 hourly / vCPU,$0.0321 hourly / vCPU,unavailable,unavailable
A1 Large,a1.large,4 GiB,2 vCPUs,EBS only,Up to 10 Gigabit,$0.0321 hourly / vCPU,$0.0202 hourly / vCPU,$0.0321 hourly / vCPU,unavailable,unavailable
A1 Extra Large,a1.xlarge,8 GiB,4 vCPUs,EBS only,Up to 10 Gigabit,$0.0321 hourly / vCPU,$0.0202 hourly / vCPU,$0.0321 hourly / vCPU,unavailable,unavailable
A1 Double Extra Large,a1.2xlarge,16 GiB,8 vCPUs,EBS only,Up to 10 Gigabit,$0.0321 hourly / vCPU,$0.0202 hourly / vCPU,$0.0321 hourly / vCPU,unavailable,unavailable
A1 Quadruple Extra Large,a1.4xlarge,32 GiB,16 vCPUs,EBS only,Up to 10 Gigabit,$0.0321 hourly / vCPU,$0.0202 hourly / vCPU,$0.0321 hourly / vCPU,unavailable,unavailable
A1 Metal,a1.metal,32 GiB,16 vCPUs,EBS only,Up to 10 Gigabit,$0.0321 hourly / vCPU,$0.0203 hourly / vCPU,$0.0321 hourly / vCPU,unavailable,unavailable
C1 High-CPU Medium,c1.medium,1.7 GiB,2 vCPUs,350 GB HDD,Moderate,$0.079 hourly / vCPU,$0.06 hourly / vCPU,$0.0241 hourly / vCPU,$0.129 hourly / vCPU,$0.104 hourly / vCPU
C1 High-CPU Extra Large,c1.xlarge,7 GiB,8 vCPUs,1680 GB (4×420 GB HDD),High,$0.079 hourly / vCPU,$0.06 hourly / vCPU,$0.0193 hourly / vCPU,$0.129 hourly / vCPU,$0.104 hourly / vCPU
C3 High-CPU Large,c3.large,3.75 GiB,2 vCPUs,32 GB (2×16 GB SSD),Moderate,$0.064 hourly / vCPU,$0.0485 hourly / vCPU,$0.0224 hourly / vCPU,$0.1155 hourly / vCPU,$0.0935 hourly / vCPU
C3 High-CPU Extra Large,c3.xlarge,7.5 GiB,4 vCPUs,80 GB (2×40 GB SSD),Moderate,$0.0638 hourly / vCPU,$0.0485 hourly / vCPU,$0.0231 hourly / vCPU,$0.1155 hourly / vCPU,$0.0935 hourly / vCPU
C3 High-CPU Double Extra Large,c3.2xlarge,15 GiB,8 vCPUs,160 GB (2×80 GB SSD),High,$0.0639 hourly / vCPU,$0.0485 hourly / vCPU,$0.0298 hourly / vCPU,$0.1156 hourly / vCPU,$0.093 hourly / vCPU
C3 High-CPU Quadruple Extra Large,c3.4xlarge,30 GiB,16 vCPUs,320 GB (2×160 GB SSD),High,$0.0638 hourly / vCPU,$0.0485 hourly / vCPU,$0.0237 hourly / vCPU,$0.1156 hourly / vCPU,$0.0931 hourly / vCPU
C3 High-CPU Eight Extra Large,c3.8xlarge,60 GiB,32 vCPUs,640 GB (2×320 GB SSD),10 Gigabit,$0.0638 hourly / vCPU,$0.0485 hourly / vCPU,$0.0242 hourly / vCPU,$0.1156 hourly / vCPU,$0.0931 hourly / vCPU
C4 High-CPU Large,c4.large,3.75 GiB,2 vCPUs,EBS only,Moderate,$0.063 hourly / vCPU,$0.045 hourly / vCPU,$0.0198 hourly / vCPU,$0.109 hourly / vCPU,$0.091 hourly / vCPU
C4 High-CPU Extra Large,c4.xlarge,7.5 GiB,4 vCPUs,EBS only,High,$0.063 hourly / vCPU,$0.0453 hourly / vCPU,$0.0235 hourly / vCPU,$0.109 hourly / vCPU,$0.0913 hourly / vCPU
C4 High-CPU Double Extra Large,c4.2xlarge,15 GiB,8 vCPUs,EBS only,High,$0.063 hourly / vCPU,$0.0451 hourly / vCPU,$0.0238 hourly / vCPU,$0.109 hourly / vCPU,$0.0911 hourly / vCPU
C4 High-CPU Quadruple Extra Large,c4.4xlarge,30 GiB,16 vCPUs,EBS only,High,$0.063 hourly / vCPU,$0.0451 hourly / vCPU,$0.0206 hourly / vCPU,$0.109 hourly / vCPU,$0.0911 hourly / vCPU
C4 High-CPU Eight Extra Large,c4.8xlarge,60 GiB,36 vCPUs,EBS only,10 Gigabit,$0.056 hourly / vCPU,$0.0401 hourly / vCPU,$0.0182 hourly / vCPU,$0.102 hourly / vCPU,$0.0861 hourly / vCPU
