Name,API Name,Instance Memory,vCPUs,Instance Storage,Network Performance,On Demand,Linux Reserved cost,Linux Spot Minimum cost,Windows On Demand cost,Windows Reserved cost
A1 Medium,a1.medium,2 GiB,1 vCPUs,EBS only,Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
A1 Large,a1.large,4 GiB,2 vCPUs,EBS only,Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
A1 Extra Large,a1.xlarge,8 GiB,4 vCPUs,EBS only,Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
A1 Double Extra Large,a1.2xlarge,16 GiB,8 vCPUs,EBS only,Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
A1 Quadruple Extra Large,a1.4xlarge,32 GiB,16 vCPUs,EBS only,Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
A1 Metal,a1.metal,32 GiB,16 vCPUs,EBS only,Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
C1 High-CPU Medium,c1.medium,1.7 GiB,2 vCPUs,350 GB HDD,Moderate,unavailable,unavailable,unavailable,unavailable,unavailable
C1 High-CPU Extra Large,c1.xlarge,7 GiB,8 vCPUs,1680 GB (4×420 GB HDD),High,unavailable,unavailable,unavailable,unavailable,unavailable
C3 High-CPU Large,c3.large,3.75 GiB,2 vCPUs,32 GB (2×16 GB SSD),Moderate,unavailable,unavailable,unavailable,unavailable,unavailable
C3 High-CPU Extra Large,c3.xlarge,7.5 GiB,4 vCPUs,80 GB (2×40 GB SSD),Moderate,unavailable,unavailable,unavailable,unavailable,unavailable
C3 High-CPU Double Extra Large,c3.2xlarge,15 GiB,8 vCPUs,160 GB (2×80 GB SSD),High,unavailable,unavailable,unavailable,unavailable,unavailable
C3 High-CPU Quadruple Extra Large,c3.4xlarge,30 GiB,16 vCPUs,320 GB (2×160 GB SSD),High,unavailable,unavailable,unavailable,unavailable,unavailable
C3 High-CPU Eight Extra Large,c3.8xlarge,60 GiB,32 vCPUs,640 GB (2×320 GB SSD),10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
C4 High-CPU Large,c4.large,3.75 GiB,2 vCPUs,EBS only,Moderate,unavailable,unavailable,unavailable,unavailable,unavailable
C4 High-CPU Extra Large,c4.xlarge,7.5 GiB,4 vCPUs,EBS only,High,unavailable,unavailable,unavailable,unavailable,unavailable
C4 High-CPU Double Extra Large,c4.2xlarge,15 GiB,8 vCPUs,EBS only,High,unavailable,unavailable,unavailable,unavailable,unavailable
C4 High-CPU Quadruple Extra Large,c4.4xlarge,30 GiB,16 vCPUs,EBS only,High,unavailable,unavailable,unavailable,unavailable,unavailable
C4 High-CPU Eight Extra Large,c4.8xlarge,60 GiB,36 vCPUs,EBS only,10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
C5 High-CPU Large,c5.large,4 GiB,2 vCPUs,EBS only,Up to 10 Gigabit,$0.0505 hourly / vCPU,$0.032 hourly / vCPU,$0.0187 hourly / vCPU,$0.0965 hourly / vCPU,$0.078 hourly / vCPU
C5 High-CPU Extra Large,c5.xlarge,8 GiB,4 vCPUs,EBS only,Up to 10 Gigabit,$0.0505 hourly / vCPU,$0.0318 hourly / vCPU,$0.0165 hourly / vCPU,$0.0965 hourly / vCPU,$0.0778 hourly / vCPU
C5 High-CPU Double Extra Large,c5.2xlarge,16 GiB,8 vCPUs,EBS only,Up to 10 Gigabit,$0.0505 hourly / vCPU,$0.0319 hourly / vCPU,$0.021 hourly / vCPU,$0.0965 hourly / vCPU,$0.0779 hourly / vCPU
C5 High-CPU Quadruple Extra Large,c5.4xlarge,32 GiB,16 vCPUs,EBS only,Up to 10 Gigabit,$0.0505 hourly / vCPU,$0.0318 hourly / vCPU,$0.0154 hourly / vCPU,$0.0965 hourly / vCPU,$0.0778 hourly / vCPU
C5 High-CPU 9xlarge,c5.9xlarge,72 GiB,36 vCPUs,EBS only,12 Gigabit,$0.0505 hourly / vCPU,$0.0318 hourly / vCPU,$0.0162 hourly / vCPU,$0.0965 hourly / vCPU,$0.0778 hourly / vCPU
C5 High-CPU 12xlarge Extra Large,c5.12xlarge,96 GiB,48 vCPUs,EBS only,12 Gigabit,$0.0505 hourly / vCPU,$0.0318 hourly / vCPU,$0.0145 hourly / vCPU,$0.0965 hourly / vCPU,$0.0778 hourly / vCPU
C5 High-CPU 18xlarge,c5.18xlarge,144 GiB,72 vCPUs,EBS only,25 Gigabit,$0.0505 hourly / vCPU,$0.0318 hourly / vCPU,$0.0113 hourly / vCPU,$0.0965 hourly / vCPU,$0.0778 hourly / vCPU
C5 High-CPU 24xlarge,c5.24xlarge,192 GiB,96 vCPUs,EBS only,25 Gigabit,$0.0505 hourly / vCPU,$0.0318 hourly / vCPU,$0.014 hourly / vCPU,$0.0965 hourly / vCPU,$0.0778 hourly / vCPU
C5 High-CPU Metal,c5.metal,192 GiB,96 vCPUs,EBS only,25 Gigabit,$0.0505 hourly / vCPU,$0.0318 hourly / vCPU,$0.0115 hourly / vCPU,$0.0965 hourly / vCPU,$0.0778 hourly / vCPU
C5A Large,c5a.large,4 GiB,2 vCPUs,EBS only,Up to 10 Gigabit,$0.0455 hourly / vCPU,$0.0285 hourly / vCPU,$0.0139 hourly / vCPU,$0.0915 hourly / vCPU,$0.0745 hourly / vCPU
C5A Extra Large,c5a.xlarge,8 GiB,4 vCPUs,EBS only,Up to 10 Gigabit,$0.0455 hourly / vCPU,$0.0288 hourly / vCPU,$0.019 hourly / vCPU,$0.0915 hourly / vCPU,$0.0748 hourly / vCPU
C5A Double Extra Large,c5a.2xlarge,16 GiB,8 vCPUs,EBS only,Up to 10 Gigabit,$0.0455 hourly / vCPU,$0.0286 hourly / vCPU,$0.018 hourly / vCPU,$0.0915 hourly / vCPU,$0.0746 hourly / vCPU
C5A Quadruple Extra Large,c5a.4xlarge,32 GiB,16 vCPUs,EBS only,Up to 10 Gigabit,$0.0455 hourly / vCPU,$0.0287 hourly / vCPU,$0.0146 hourly / vCPU,$0.0915 hourly / vCPU,$0.0747 hourly / vCPU
C5A Eight Extra Large,c5a.8xlarge,64 GiB,32 vCPUs,EBS only,10 Gigabit,$0.0455 hourly / vCPU,$0.0287 hourly / vCPU,$0.0161 hourly / vCPU,$0.0915 hourly / vCPU,$0.0747 hourly / vCPU
C5A 12xlarge Extra Large,c5a.12xlarge,96 GiB,48 vCPUs,EBS only,12 Gigabit,$0.0455 hourly / vCPU,$0.0287 hourly / vCPU,$0.0183 hourly / vCPU,$0.0915 hourly / vCPU,$0.0747 hourly / vCPU
C5A 16xlarge Extra Large,c5a.16xlarge,128 GiB,64 vCPUs,EBS only,20 Gigabit,$0.0455 hourly / vCPU,$0.0287 hourly / vCPU,$0.0126 hourly / vCPU,$0.0915 hourly / vCPU,$0.0747 hourly / vCPU
C5A 24xlarge,c5a.24xlarge,192 GiB,96 vCPUs,EBS only,20 Gigabit,$0.0455 hourly / vCPU,$0.0287 hourly / vCPU,$0.0075 hourly / vCPU,$0.0915 hourly / vCPU,$0.0747 hourly / vCPU
C5AD Large,c5ad.large,4 GiB,2 vCPUs,75 GB NVMe SSD,Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
C5AD Extra Large,c5ad.xlarge,8 GiB,4 vCPUs,150 GB NVMe SSD,Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
C5AD Double Extra Large,c5ad.2xlarge,16 GiB,8 vCPUs,300 GB NVMe SSD,Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
C5AD Quadruple Extra Large,c5ad.4xlarge,32 GiB,16 vCPUs,600 GB (2×300 GB NVMe SSD),Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
C5AD Eight Extra Large,c5ad.8xlarge,64 GiB,32 vCPUs,1200 GB (2×600 GB NVMe SSD),10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
C5AD 12xlarge Extra Large,c5ad.12xlarge,96 GiB,48 vCPUs,1800 GB (2×900 GB NVMe SSD),12 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
C5AD 16xlarge Extra Large,c5ad.16xlarge,128 GiB,64 vCPUs,2400 GB (2×1200 GB NVMe SSD),20 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
C5AD 24xlarge,c5ad.24xlarge,192 GiB,96 vCPUs,3800 GB (2×1900 GB NVMe SSD),20 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
C5 High-CPU Large,c5d.large,4 GiB,2 vCPUs,50 GB NVMe SSD,Up to 10 Gigabit,$0.0575 hourly / vCPU,$0.036 hourly / vCPU,$0.0178 hourly / vCPU,$0.1035 hourly / vCPU,$0.082 hourly / vCPU
C5 High-CPU Extra Large,c5d.xlarge,8 GiB,4 vCPUs,100 GB NVMe SSD,Up to 10 Gigabit,$0.0575 hourly / vCPU,$0.0363 hourly / vCPU,$0.0193 hourly / vCPU,$0.1035 hourly / vCPU,$0.0823 hourly / vCPU
C5 High-CPU Double Extra Large,c5d.2xlarge,16 GiB,8 vCPUs,200 GB NVMe SSD,Up to 10 Gigabit,$0.0575 hourly / vCPU,$0.0363 hourly / vCPU,$0.0204 hourly / vCPU,$0.1035 hourly / vCPU,$0.0823 hourly / vCPU
C5 High-CPU Quadruple Extra Large,c5d.4xlarge,32 GiB,16 vCPUs,400 GB NVMe SSD,Up to 10 Gigabit,$0.0575 hourly / vCPU,$0.0363 hourly / vCPU,$0.0177 hourly / vCPU,$0.1035 hourly / vCPU,$0.0823 hourly / vCPU
C5 High-CPU 9xlarge,c5d.9xlarge,72 GiB,36 vCPUs,900 GB NVMe SSD,12 Gigabit,$0.0575 hourly / vCPU,$0.0362 hourly / vCPU,$0.0261 hourly / vCPU,$0.1035 hourly / vCPU,$0.0822 hourly / vCPU
C5 High-CPU 12xlarge Extra Large,c5d.12xlarge,96 GiB,48 vCPUs,1800 GB (2×900 GB NVMe SSD),12 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
C5 High-CPU 18xlarge,c5d.18xlarge,144 GiB,72 vCPUs,1800 GB (2×900 GB NVMe SSD),25 Gigabit,$0.0575 hourly / vCPU,$0.0362 hourly / vCPU,$0.0174 hourly / vCPU,$0.1035 hourly / vCPU,$0.0822 hourly / vCPU
C5 High-CPU 24xlarge,c5d.24xlarge,192 GiB,96 vCPUs,3600 GB (4×900 GB NVMe SSD),25 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
C5 High-CPU Metal,c5d.metal,192 GiB,96 vCPUs,3600 GB (4×900 GB NVMe SSD),25 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
C5N Large,c5n.large,5.25 GiB,2 vCPUs,EBS only,Up to 25 Gigabit,$0.064 hourly / vCPU,$0.0405 hourly / vCPU,$0.0176 hourly / vCPU,$0.11 hourly / vCPU,$0.0865 hourly / vCPU
C5N Extra Large,c5n.xlarge,10.5 GiB,4 vCPUs,EBS only,Up to 25 Gigabit,$0.064 hourly / vCPU,$0.0403 hourly / vCPU,$0.0231 hourly / vCPU,$0.11 hourly / vCPU,$0.0863 hourly / vCPU
C5N Double Extra Large,c5n.2xlarge,21 GiB,8 vCPUs,EBS only,Up to 25 Gigabit,$0.064 hourly / vCPU,$0.0404 hourly / vCPU,$0.0253 hourly / vCPU,$0.11 hourly / vCPU,$0.0404 hourly / vCPU
C5N Quadruple Extra Large,c5n.4xlarge,42 GiB,16 vCPUs,EBS only,Up to 25 Gigabit,$0.064 hourly / vCPU,$0.0403 hourly / vCPU,$0.0273 hourly / vCPU,$0.11 hourly / vCPU,$0.0403 hourly / vCPU
C5N 9xlarge,c5n.9xlarge,96 GiB,36 vCPUs,EBS only,50 Gigabit,$0.064 hourly / vCPU,$0.0403 hourly / vCPU,$0.0263 hourly / vCPU,$0.11 hourly / vCPU,$0.0403 hourly / vCPU
C5N 18xlarge,c5n.18xlarge,192 GiB,72 vCPUs,EBS only,100 Gigabit,$0.064 hourly / vCPU,$0.0403 hourly / vCPU,$0.015 hourly / vCPU,$0.11 hourly / vCPU,$0.0863 hourly / vCPU
C5N Metal,c5n.metal,192 GiB,72 vCPUs,EBS only,100 Gigabit,$0.064 hourly / vCPU,$0.0403 hourly / vCPU,$0.0111 hourly / vCPU,$0.11 hourly / vCPU,$0.0863 hourly / vCPU
