Name,API Name,Instance Memory,vCPUs,Instance Storage,Network Performance,On Demand,Linux Reserved cost,Linux Spot Minimum cost,Windows On Demand cost,Windows Reserved cost
A1 Medium,a1.medium,2 GiB,1 vCPUs,EBS only,Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
A1 Large,a1.large,4 GiB,2 vCPUs,EBS only,Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
A1 Extra Large,a1.xlarge,8 GiB,4 vCPUs,EBS only,Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
A1 Double Extra Large,a1.2xlarge,16 GiB,8 vCPUs,EBS only,Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
A1 Quadruple Extra Large,a1.4xlarge,32 GiB,16 vCPUs,EBS only,Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
A1 Metal,a1.metal,32 GiB,16 vCPUs,EBS only,Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
C1 High-CPU Medium,c1.medium,1.7 GiB,2 vCPUs,350 GB HDD,Moderate,$0.0895 hourly / vCPU,$0.065 hourly / vCPU,$0.0231 hourly / vCPU,$0.1295 hourly / vCPU,$0.109 hourly / vCPU
C1 High-CPU Extra Large,c1.xlarge,7 GiB,8 vCPUs,1680 GB (4×420 GB HDD),High,$0.0898 hourly / vCPU,$0.065 hourly / vCPU,$0.0228 hourly / vCPU,$0.1298 hourly / vCPU,$0.1089 hourly / vCPU
C3 High-CPU Large,c3.large,3.75 GiB,2 vCPUs,32 GB (2×16 GB SSD),Moderate,$0.0815 hourly / vCPU,$0.0615 hourly / vCPU,$0.01 hourly / vCPU,$0.123 hourly / vCPU,$0.1145 hourly / vCPU
C3 High-CPU Extra Large,c3.xlarge,7.5 GiB,4 vCPUs,80 GB (2×40 GB SSD),Moderate,$0.0813 hourly / vCPU,$0.0615 hourly / vCPU,$0.0212 hourly / vCPU,$0.1228 hourly / vCPU,$0.115 hourly / vCPU
C3 High-CPU Double Extra Large,c3.2xlarge,15 GiB,8 vCPUs,160 GB (2×80 GB SSD),High,$0.0813 hourly / vCPU,$0.0615 hourly / vCPU,$0.0234 hourly / vCPU,$0.1228 hourly / vCPU,$0.115 hourly / vCPU
C3 High-CPU Quadruple Extra Large,c3.4xlarge,30 GiB,16 vCPUs,320 GB (2×160 GB SSD),High,$0.0813 hourly / vCPU,$0.0615 hourly / vCPU,$0.0177 hourly / vCPU,$0.1228 hourly / vCPU,$0.1149 hourly / vCPU
C3 High-CPU Eight Extra Large,c3.8xlarge,60 GiB,32 vCPUs,640 GB (2×320 GB SSD),10 Gigabit,$0.0813 hourly / vCPU,$0.0615 hourly / vCPU,$0.0159 hourly / vCPU,$0.1228 hourly / vCPU,$0.1149 hourly / vCPU
C4 High-CPU Large,c4.large,3.75 GiB,2 vCPUs,EBS only,Moderate,$0.0775 hourly / vCPU,$0.055 hourly / vCPU,$0.0171 hourly / vCPU,$0.1235 hourly / vCPU,$0.101 hourly / vCPU
C4 High-CPU Extra Large,c4.xlarge,7.5 GiB,4 vCPUs,EBS only,High,$0.0773 hourly / vCPU,$0.055 hourly / vCPU,$0.0214 hourly / vCPU,$0.1233 hourly / vCPU,$0.101 hourly / vCPU
C4 High-CPU Double Extra Large,c4.2xlarge,15 GiB,8 vCPUs,EBS only,High,$0.0773 hourly / vCPU,$0.0551 hourly / vCPU,$0.019 hourly / vCPU,$0.1233 hourly / vCPU,$0.1011 hourly / vCPU
C4 High-CPU Quadruple Extra Large,c4.4xlarge,30 GiB,16 vCPUs,EBS only,High,$0.0772 hourly / vCPU,$0.0551 hourly / vCPU,$0.0128 hourly / vCPU,$0.1232 hourly / vCPU,$0.1011 hourly / vCPU
C4 High-CPU Eight Extra Large,c4.8xlarge,60 GiB,36 vCPUs,EBS only,10 Gigabit,$0.0686 hourly / vCPU,$0.049 hourly / vCPU,$0.0069 hourly / vCPU,$0.1146 hourly / vCPU,$0.095 hourly / vCPU
C5 High-CPU Large,c5.large,4 GiB,2 vCPUs,EBS only,Up to 10 Gigabit,$0.0655 hourly / vCPU,$0.0415 hourly / vCPU,$0.0197 hourly / vCPU,$0.1115 hourly / vCPU,$0.0875 hourly / vCPU
C5 High-CPU Extra Large,c5.xlarge,8 GiB,4 vCPUs,EBS only,Up to 10 Gigabit,$0.0655 hourly / vCPU,$0.0413 hourly / vCPU,$0.0215 hourly / vCPU,$0.1115 hourly / vCPU,$0.0873 hourly / vCPU
C5 High-CPU Double Extra Large,c5.2xlarge,16 GiB,8 vCPUs,EBS only,Up to 10 Gigabit,$0.0655 hourly / vCPU,$0.0413 hourly / vCPU,$0.0195 hourly / vCPU,$0.1115 hourly / vCPU,$0.0873 hourly / vCPU
C5 High-CPU Quadruple Extra Large,c5.4xlarge,32 GiB,16 vCPUs,EBS only,Up to 10 Gigabit,$0.0655 hourly / vCPU,$0.0413 hourly / vCPU,$0.0102 hourly / vCPU,$0.1115 hourly / vCPU,$0.0873 hourly / vCPU
C5 High-CPU 9xlarge,c5.9xlarge,72 GiB,36 vCPUs,EBS only,12 Gigabit,$0.0655 hourly / vCPU,$0.0413 hourly / vCPU,$0.021 hourly / vCPU,$0.1115 hourly / vCPU,$0.0873 hourly / vCPU
C5 High-CPU 12xlarge Extra Large,c5.12xlarge,96 GiB,48 vCPUs,EBS only,12 Gigabit,$0.0655 hourly / vCPU,$0.0413 hourly / vCPU,$0.0202 hourly / vCPU,$0.1115 hourly / vCPU,$0.0873 hourly / vCPU
C5 High-CPU 18xlarge,c5.18xlarge,144 GiB,72 vCPUs,EBS only,25 Gigabit,$0.0655 hourly / vCPU,$0.0413 hourly / vCPU,$0.0172 hourly / vCPU,$0.1115 hourly / vCPU,$0.0873 hourly / vCPU
C5 High-CPU 24xlarge,c5.24xlarge,192 GiB,96 vCPUs,EBS only,25 Gigabit,$0.0655 hourly / vCPU,$0.0413 hourly / vCPU,$0.0197 hourly / vCPU,$0.1115 hourly / vCPU,$0.0873 hourly / vCPU
C5 High-CPU Metal,c5.metal,192 GiB,96 vCPUs,EBS only,25 Gigabit,$0.0655 hourly / vCPU,$0.0413 hourly / vCPU,$0.0066 hourly / vCPU,$0.1115 hourly / vCPU,$0.0873 hourly / vCPU
C5A Large,c5a.large,4 GiB,2 vCPUs,EBS only,Up to 10 Gigabit,$0.059 hourly / vCPU,$0.037 hourly / vCPU,$0.0222 hourly / vCPU,$0.105 hourly / vCPU,$0.083 hourly / vCPU
C5A Extra Large,c5a.xlarge,8 GiB,4 vCPUs,EBS only,Up to 10 Gigabit,$0.059 hourly / vCPU,$0.0373 hourly / vCPU,$0.0248 hourly / vCPU,$0.105 hourly / vCPU,$0.0833 hourly / vCPU
C5A Double Extra Large,c5a.2xlarge,16 GiB,8 vCPUs,EBS only,Up to 10 Gigabit,$0.059 hourly / vCPU,$0.0371 hourly / vCPU,$0.0251 hourly / vCPU,$0.105 hourly / vCPU,$0.0831 hourly / vCPU
C5A Quadruple Extra Large,c5a.4xlarge,32 GiB,16 vCPUs,EBS only,Up to 10 Gigabit,$0.059 hourly / vCPU,$0.0372 hourly / vCPU,$0.022 hourly / vCPU,$0.105 hourly / vCPU,$0.0832 hourly / vCPU
C5A Eight Extra Large,c5a.8xlarge,64 GiB,32 vCPUs,EBS only,10 Gigabit,$0.059 hourly / vCPU,$0.0372 hourly / vCPU,$0.0279 hourly / vCPU,$0.105 hourly / vCPU,$0.0832 hourly / vCPU
C5A 12xlarge Extra Large,c5a.12xlarge,96 GiB,48 vCPUs,EBS only,12 Gigabit,$0.059 hourly / vCPU,$0.0372 hourly / vCPU,$0.0433 hourly / vCPU,$0.105 hourly / vCPU,$0.0832 hourly / vCPU
C5A 16xlarge Extra Large,c5a.16xlarge,128 GiB,64 vCPUs,EBS only,20 Gigabit,$0.059 hourly / vCPU,$0.0372 hourly / vCPU,$0.0281 hourly / vCPU,$0.105 hourly / vCPU,$0.0832 hourly / vCPU
C5A 24xlarge,c5a.24xlarge,192 GiB,96 vCPUs,EBS only,20 Gigabit,$0.059 hourly / vCPU,$0.0372 hourly / vCPU,$0.031 hourly / vCPU,$0.105 hourly / vCPU,$0.0832 hourly / vCPU
C5AD Large,c5ad.large,4 GiB,2 vCPUs,75 GB NVMe SSD,Up to 10 Gigabit,$0.067 hourly / vCPU,$0.042 hourly / vCPU,$0.0203 hourly / vCPU,$0.113 hourly / vCPU,$0.088 hourly / vCPU
C5AD Extra Large,c5ad.xlarge,8 GiB,4 vCPUs,150 GB NVMe SSD,Up to 10 Gigabit,$0.067 hourly / vCPU,$0.0423 hourly / vCPU,$0.0198 hourly / vCPU,$0.113 hourly / vCPU,$0.0883 hourly / vCPU
C5AD Double Extra Large,c5ad.2xlarge,16 GiB,8 vCPUs,300 GB NVMe SSD,Up to 10 Gigabit,$0.067 hourly / vCPU,$0.0423 hourly / vCPU,$0.0279 hourly / vCPU,$0.113 hourly / vCPU,$0.0883 hourly / vCPU
C5AD Quadruple Extra Large,c5ad.4xlarge,32 GiB,16 vCPUs,600 GB (2×300 GB NVMe SSD),Up to 10 Gigabit,$0.067 hourly / vCPU,$0.0422 hourly / vCPU,$0.0326 hourly / vCPU,$0.113 hourly / vCPU,$0.0882 hourly / vCPU
C5AD Eight Extra Large,c5ad.8xlarge,64 GiB,32 vCPUs,1200 GB (2×600 GB NVMe SSD),10 Gigabit,$0.067 hourly / vCPU,$0.0422 hourly / vCPU,$0.0407 hourly / vCPU,$0.113 hourly / vCPU,$0.0882 hourly / vCPU
C5AD 12xlarge Extra Large,c5ad.12xlarge,96 GiB,48 vCPUs,1800 GB (2×900 GB NVMe SSD),12 Gigabit,$0.067 hourly / vCPU,$0.0422 hourly / vCPU,$0.0412 hourly / vCPU,$0.113 hourly / vCPU,$0.0882 hourly / vCPU
C5AD 16xlarge Extra Large,c5ad.16xlarge,128 GiB,64 vCPUs,2400 GB (2×1200 GB NVMe SSD),20 Gigabit,$0.067 hourly / vCPU,$0.0422 hourly / vCPU,$0.0369 hourly / vCPU,$0.113 hourly / vCPU,$0.0882 hourly / vCPU
C5AD 24xlarge,c5ad.24xlarge,192 GiB,96 vCPUs,3800 GB (2×1900 GB NVMe SSD),20 Gigabit,$0.067 hourly / vCPU,$0.0422 hourly / vCPU,$0.0388 hourly / vCPU,$0.113 hourly / vCPU,$0.0882 hourly / vCPU
C5 High-CPU Large,c5d.large,4 GiB,2 vCPUs,50 GB NVMe SSD,Up to 10 Gigabit,$0.0745 hourly / vCPU,$0.047 hourly / vCPU,$0.0164 hourly / vCPU,$0.1205 hourly / vCPU,$0.093 hourly / vCPU
C5 High-CPU Extra Large,c5d.xlarge,8 GiB,4 vCPUs,100 GB NVMe SSD,Up to 10 Gigabit,$0.0745 hourly / vCPU,$0.047 hourly / vCPU,$0.023 hourly / vCPU,$0.1205 hourly / vCPU,$0.093 hourly / vCPU
C5 High-CPU Double Extra Large,c5d.2xlarge,16 GiB,8 vCPUs,200 GB NVMe SSD,Up to 10 Gigabit,$0.0745 hourly / vCPU,$0.0469 hourly / vCPU,$0.0168 hourly / vCPU,$0.1205 hourly / vCPU,$0.0929 hourly / vCPU
C5 High-CPU Quadruple Extra Large,c5d.4xlarge,32 GiB,16 vCPUs,400 GB NVMe SSD,Up to 10 Gigabit,$0.0745 hourly / vCPU,$0.0469 hourly / vCPU,$0.0235 hourly / vCPU,$0.1205 hourly / vCPU,$0.0929 hourly / vCPU
C5 High-CPU 9xlarge,c5d.9xlarge,72 GiB,36 vCPUs,900 GB NVMe SSD,12 Gigabit,$0.0745 hourly / vCPU,$0.0469 hourly / vCPU,$0.0383 hourly / vCPU,$0.1205 hourly / vCPU,$0.0929 hourly / vCPU
C5 High-CPU 12xlarge Extra Large,c5d.12xlarge,96 GiB,48 vCPUs,1800 GB (2×900 GB NVMe SSD),12 Gigabit,$0.0745 hourly / vCPU,$0.0469 hourly / vCPU,$0.0579 hourly / vCPU,$0.1205 hourly / vCPU,$0.0929 hourly / vCPU
C5 High-CPU 18xlarge,c5d.18xlarge,144 GiB,72 vCPUs,1800 GB (2×900 GB NVMe SSD),25 Gigabit,$0.0745 hourly / vCPU,$0.0469 hourly / vCPU,$0.0448 hourly / vCPU,$0.1205 hourly / vCPU,$0.0929 hourly / vCPU
