Name,API Name,Instance Memory,vCPUs,Instance Storage,Network Performance,On Demand,Linux Reserved cost,Linux Spot Minimum cost,Windows On Demand cost,Windows Reserved cost
A1 Medium,a1.medium,2 GiB,1 vCPUs,EBS only,Up to 10 Gigabit,$0.0255 hourly / vCPU,$0.0161 hourly / vCPU,$0.0255 hourly / vCPU,unavailable,unavailable
A1 Large,a1.large,4 GiB,2 vCPUs,EBS only,Up to 10 Gigabit,$0.0255 hourly / vCPU,$0.0161 hourly / vCPU,$0.0255 hourly / vCPU,unavailable,unavailable
A1 Extra Large,a1.xlarge,8 GiB,4 vCPUs,EBS only,Up to 10 Gigabit,$0.0255 hourly / vCPU,$0.0161 hourly / vCPU,$0.0255 hourly / vCPU,unavailable,unavailable
A1 Double Extra Large,a1.2xlarge,16 GiB,8 vCPUs,EBS only,Up to 10 Gigabit,$0.0255 hourly / vCPU,$0.0161 hourly / vCPU,$0.0255 hourly / vCPU,unavailable,unavailable
A1 Quadruple Extra Large,a1.4xlarge,32 GiB,16 vCPUs,EBS only,Up to 10 Gigabit,$0.0255 hourly / vCPU,$0.0161 hourly / vCPU,$0.0255 hourly / vCPU,unavailable,unavailable
A1 Metal,a1.metal,32 GiB,16 vCPUs,EBS only,Up to 10 Gigabit,$0.0255 hourly / vCPU,$0.0161 hourly / vCPU,$0.0255 hourly / vCPU,unavailable,unavailable
C1 High-CPU Medium,c1.medium,1.7 GiB,2 vCPUs,350 GB HDD,Moderate,$0.065 hourly / vCPU,$0.0455 hourly / vCPU,$0.0224 hourly / vCPU,$0.105 hourly / vCPU,$0.0895 hourly / vCPU
C1 High-CPU Extra Large,c1.xlarge,7 GiB,8 vCPUs,1680 GB (4×420 GB HDD),High,$0.065 hourly / vCPU,$0.0455 hourly / vCPU,$0.0266 hourly / vCPU,$0.105 hourly / vCPU,$0.0899 hourly / vCPU
C3 High-CPU Large,c3.large,3.75 GiB,2 vCPUs,32 GB (2×16 GB SSD),Moderate,$0.0525 hourly / vCPU,$0.0365 hourly / vCPU,$0.0195 hourly / vCPU,$0.094 hourly / vCPU,$0.0825 hourly / vCPU
C3 High-CPU Extra Large,c3.xlarge,7.5 GiB,4 vCPUs,80 GB (2×40 GB SSD),Moderate,$0.0525 hourly / vCPU,$0.0365 hourly / vCPU,$0.0212 hourly / vCPU,$0.094 hourly / vCPU,$0.0823 hourly / vCPU
C3 High-CPU Double Extra Large,c3.2xlarge,15 GiB,8 vCPUs,160 GB (2×80 GB SSD),High,$0.0525 hourly / vCPU,$0.0365 hourly / vCPU,$0.0228 hourly / vCPU,$0.094 hourly / vCPU,$0.0821 hourly / vCPU
C3 High-CPU Quadruple Extra Large,c3.4xlarge,30 GiB,16 vCPUs,320 GB (2×160 GB SSD),High,$0.0525 hourly / vCPU,$0.0365 hourly / vCPU,$0.0202 hourly / vCPU,$0.094 hourly / vCPU,$0.0823 hourly / vCPU
C3 High-CPU Eight Extra Large,c3.8xlarge,60 GiB,32 vCPUs,640 GB (2×320 GB SSD),10 Gigabit,$0.0525 hourly / vCPU,$0.0365 hourly / vCPU,$0.0188 hourly / vCPU,$0.094 hourly / vCPU,$0.0822 hourly / vCPU
C4 High-CPU Large,c4.large,3.75 GiB,2 vCPUs,EBS only,Moderate,$0.05 hourly / vCPU,$0.0315 hourly / vCPU,$0.0186 hourly / vCPU,$0.096 hourly / vCPU,$0.0775 hourly / vCPU
C4 High-CPU Extra Large,c4.xlarge,7.5 GiB,4 vCPUs,EBS only,High,$0.0498 hourly / vCPU,$0.0315 hourly / vCPU,$0.0178 hourly / vCPU,$0.0958 hourly / vCPU,$0.0775 hourly / vCPU
C4 High-CPU Double Extra Large,c4.2xlarge,15 GiB,8 vCPUs,EBS only,High,$0.0498 hourly / vCPU,$0.0315 hourly / vCPU,$0.0195 hourly / vCPU,$0.0958 hourly / vCPU,$0.0775 hourly / vCPU
C4 High-CPU Quadruple Extra Large,c4.4xlarge,30 GiB,16 vCPUs,EBS only,High,$0.0498 hourly / vCPU,$0.0315 hourly / vCPU,$0.0181 hourly / vCPU,$0.0958 hourly / vCPU,$0.0775 hourly / vCPU
C4 High-CPU Eight Extra Large,c4.8xlarge,60 GiB,36 vCPUs,EBS only,10 Gigabit,$0.0442 hourly / vCPU,$0.028 hourly / vCPU,$0.0164 hourly / vCPU,$0.0859 hourly / vCPU,$0.074 hourly / vCPU
C5 High-CPU Large,c5.large,4 GiB,2 vCPUs,EBS only,Up to 10 Gigabit,$0.0425 hourly / vCPU,$0.027 hourly / vCPU,$0.0154 hourly / vCPU,$0.0885 hourly / vCPU,$0.073 hourly / vCPU
C5 High-CPU Extra Large,c5.xlarge,8 GiB,4 vCPUs,EBS only,Up to 10 Gigabit,$0.0425 hourly / vCPU,$0.0268 hourly / vCPU,$0.0173 hourly / vCPU,$0.0885 hourly / vCPU,$0.0728 hourly / vCPU
C5 High-CPU Double Extra Large,c5.2xlarge,16 GiB,8 vCPUs,EBS only,Up to 10 Gigabit,$0.0425 hourly / vCPU,$0.0268 hourly / vCPU,$0.0156 hourly / vCPU,$0.0885 hourly / vCPU,$0.0728 hourly / vCPU
C5 High-CPU Quadruple Extra Large,c5.4xlarge,32 GiB,16 vCPUs,EBS only,Up to 10 Gigabit,$0.0425 hourly / vCPU,$0.0268 hourly / vCPU,$0.0151 hourly / vCPU,$0.0885 hourly / vCPU,$0.0728 hourly / vCPU
C5 High-CPU 9xlarge,c5.9xlarge,72 GiB,36 vCPUs,EBS only,12 Gigabit,$0.0425 hourly / vCPU,$0.0268 hourly / vCPU,$0.017 hourly / vCPU,$0.0885 hourly / vCPU,$0.0728 hourly / vCPU
C5 High-CPU 12xlarge Extra Large,c5.12xlarge,96 GiB,48 vCPUs,EBS only,12 Gigabit,$0.0425 hourly / vCPU,$0.0268 hourly / vCPU,$0.014 hourly / vCPU,$0.0885 hourly / vCPU,$0.0728 hourly / vCPU
C5 High-CPU 18xlarge,c5.18xlarge,144 GiB,72 vCPUs,EBS only,25 Gigabit,$0.0425 hourly / vCPU,$0.0268 hourly / vCPU,$0.0142 hourly / vCPU,$0.0885 hourly / vCPU,$0.0728 hourly / vCPU
C5 High-CPU 24xlarge,c5.24xlarge,192 GiB,96 vCPUs,EBS only,25 Gigabit,$0.0425 hourly / vCPU,$0.0268 hourly / vCPU,$0.0142 hourly / vCPU,$0.0885 hourly / vCPU,$0.0728 hourly / vCPU
