Name,API Name,Instance Memory,vCPUs,Instance Storage,Network Performance,On Demand,Linux Reserved cost,Linux Spot Minimum cost,Windows On Demand cost,Windows Reserved cost
A1 Medium,a1.medium,2 GiB,1 vCPUs,EBS only,Up to 10 Gigabit,$0.0321 hourly,$0.0202 hourly,$0.0321 hourly,unavailable,unavailable
A1 Large,a1.large,4 GiB,2 vCPUs,EBS only,Up to 10 Gigabit,$0.0642 hourly,$0.0404 hourly,$0.0642 hourly,unavailable,unavailable
A1 Extra Large,a1.xlarge,8 GiB,4 vCPUs,EBS only,Up to 10 Gigabit,$0.1284 hourly,$0.0809 hourly,$0.1284 hourly,unavailable,unavailable
A1 Double Extra Large,a1.2xlarge,16 GiB,8 vCPUs,EBS only,Up to 10 Gigabit,$0.2568 hourly,$0.1618 hourly,$0.2568 hourly,unavailable,unavailable
A1 Quadruple Extra Large,a1.4xlarge,32 GiB,16 vCPUs,EBS only,Up to 10 Gigabit,$0.5136 hourly,$0.3236 hourly,$0.5136 hourly,unavailable,unavailable
A1 Metal,a1.metal,32 GiB,16 vCPUs,EBS only,Up to 10 Gigabit,$0.514 hourly,$0.324 hourly,$0.514 hourly,unavailable,unavailable
C1 High-CPU Medium,c1.medium,1.7 GiB,2 vCPUs,350 GB HDD,Moderate,$0.158 hourly,$0.12 hourly,$0.0455 hourly,$0.258 hourly,$0.208 hourly
C1 High-CPU Extra Large,c1.xlarge,7 GiB,8 vCPUs,1680 GB (4×420 GB HDD),High,$0.632 hourly,$0.48 hourly,$0.138 hourly,$1.032 hourly,$0.832 hourly
C3 High-CPU Large,c3.large,3.75 GiB,2 vCPUs,32 GB (2×16 GB SSD),Moderate,$0.128 hourly,$0.097 hourly,$0.0429 hourly,$0.231 hourly,$0.187 hourly
C3 High-CPU Extra Large,c3.xlarge,7.5 GiB,4 vCPUs,80 GB (2×40 GB SSD),Moderate,$0.255 hourly,$0.194 hourly,$0.09 hourly,$0.462 hourly,$0.374 hourly
C3 High-CPU Double Extra Large,c3.2xlarge,15 GiB,8 vCPUs,160 GB (2×80 GB SSD),High,$0.511 hourly,$0.388 hourly,$0.2323 hourly,$0.925 hourly,$0.744 hourly
C3 High-CPU Quadruple Extra Large,c3.4xlarge,30 GiB,16 vCPUs,320 GB (2×160 GB SSD),High,$1.021 hourly,$0.776 hourly,$0.3771 hourly,$1.849 hourly,$1.489 hourly
