Name,API Name,Instance Memory,vCPUs,Instance Storage,Network Performance,On Demand,Linux Reserved cost,Linux Spot Minimum cost,Windows On Demand cost,Windows Reserved cost
A1 Medium,a1.medium,2 GiB,1 vCPUs,EBS only,Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
A1 Large,a1.large,4 GiB,2 vCPUs,EBS only,Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
A1 Extra Large,a1.xlarge,8 GiB,4 vCPUs,EBS only,Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
A1 Double Extra Large,a1.2xlarge,16 GiB,8 vCPUs,EBS only,Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
A1 Quadruple Extra Large,a1.4xlarge,32 GiB,16 vCPUs,EBS only,Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
A1 Metal,a1.metal,32 GiB,16 vCPUs,EBS only,Up to 10 Gigabit,unavailable,unavailable,unavailable,unavailable,unavailable
C1 High-CPU Medium,c1.medium,1.7 GiB,2 vCPUs,350 GB HDD,Moderate,$0.179 hourly,$0.13 hourly,$0.0505 hourly,$0.259 hourly,$0.218 hourly
C1 High-CPU Extra Large,c1.xlarge,7 GiB,8 vCPUs,1680 GB (4×420 GB HDD),High,$0.718 hourly,$0.52 hourly,$0.1903 hourly,$1.038 hourly,$0.871 hourly
C3 High-CPU Large,c3.large,3.75 GiB,2 vCPUs,32 GB (2×16 GB SSD),Moderate,$0.163 hourly,$0.123 hourly,$0.0222 hourly,$0.246 hourly,$0.229 hourly
C3 High-CPU Extra Large,c3.xlarge,7.5 GiB,4 vCPUs,80 GB (2×40 GB SSD),Moderate,$0.325 hourly,$0.246 hourly,$0.0855 hourly,$0.491 hourly,$0.46 hourly
C3 High-CPU Double Extra Large,c3.2xlarge,15 GiB,8 vCPUs,160 GB (2×80 GB SSD),High,$0.65 hourly,$0.492 hourly,$0.197 hourly,$0.982 hourly,$0.92 hourly
C3 High-CPU Quadruple Extra Large,c3.4xlarge,30 GiB,16 vCPUs,320 GB (2×160 GB SSD),High,$1.30 hourly,$0.984 hourly,$0.2754 hourly,$1.964 hourly,$1.839 hourly
C3 High-CPU Eight Extra Large,c3.8xlarge,60 GiB,32 vCPUs,640 GB (2×320 GB SSD),10 Gigabit,$2.60 hourly,$1.968 hourly,$0.5075 hourly,$3.928 hourly,$3.676 hourly
C4 High-CPU Large,c4.large,3.75 GiB,2 vCPUs,EBS only,Moderate,$0.155 hourly,$0.11 hourly,$0.0337 hourly,$0.247 hourly,$0.202 hourly
C4 High-CPU Extra Large,c4.xlarge,7.5 GiB,4 vCPUs,EBS only,High,$0.309 hourly,$0.22 hourly,$0.0883 hourly,$0.493 hourly,$0.404 hourly
C4 High-CPU Double Extra Large,c4.2xlarge,15 GiB,8 vCPUs,EBS only,High,$0.618 hourly,$0.441 hourly,$0.1549 hourly,$0.986 hourly,$0.809 hourly
C4 High-CPU Quadruple Extra Large,c4.4xlarge,30 GiB,16 vCPUs,EBS only,High,$1.235 hourly,$0.882 hourly,$0.1993 hourly,$1.971 hourly,$1.618 hourly
C4 High-CPU Eight Extra Large,c4.8xlarge,60 GiB,36 vCPUs,EBS only,10 Gigabit,$2.47 hourly,$1.764 hourly,$0.2652 hourly,$4.126 hourly,$3.42 hourly
C5 High-CPU Large,c5.large,4 GiB,2 vCPUs,EBS only,Up to 10 Gigabit,$0.131 hourly,$0.083 hourly,$0.04 hourly,$0.223 hourly,$0.175 hourly
C5 High-CPU Extra Large,c5.xlarge,8 GiB,4 vCPUs,EBS only,Up to 10 Gigabit,$0.262 hourly,$0.165 hourly,$0.0851 hourly,$0.446 hourly,$0.349 hourly
C5 High-CPU Double Extra Large,c5.2xlarge,16 GiB,8 vCPUs,EBS only,Up to 10 Gigabit,$0.524 hourly,$0.33 hourly,$0.1575 hourly,$0.892 hourly,$0.698 hourly
C5 High-CPU Quadruple Extra Large,c5.4xlarge,32 GiB,16 vCPUs,EBS only,Up to 10 Gigabit,$1.048 hourly,$0.66 hourly,$0.2079 hourly,$1.784 hourly,$1.396 hourly
C5 High-CPU 9xlarge,c5.9xlarge,72 GiB,36 vCPUs,EBS only,12 Gigabit,$2.358 hourly,$1.486 hourly,$0.7441 hourly,$4.014 hourly,$3.142 hourly
C5 High-CPU 12xlarge Extra Large,c5.12xlarge,96 GiB,48 vCPUs,EBS only,12 Gigabit,$3.144 hourly,$1.981 hourly,$0.9804 hourly,$5.352 hourly,$4.189 hourly
C5 High-CPU 18xlarge,c5.18xlarge,144 GiB,72 vCPUs,EBS only,25 Gigabit,$4.716 hourly,$2.971 hourly,$1.226 hourly,$8.028 hourly,$6.283 hourly
C5 High-CPU 24xlarge,c5.24xlarge,192 GiB,96 vCPUs,EBS only,25 Gigabit,$6.288 hourly,$3.961 hourly,$1.7833 hourly,$10.704 hourly,$8.377 hourly
C5 High-CPU Metal,c5.metal,192 GiB,96 vCPUs,EBS only,25 Gigabit,$6.288 hourly,$3.961 hourly,$0.6288 hourly,$10.704 hourly,$8.377 hourly
C5A Large,c5a.large,4 GiB,2 vCPUs,EBS only,Up to 10 Gigabit,$0.118 hourly,$0.074 hourly,$0.045 hourly,$0.21 hourly,$0.166 hourly
C5A Extra Large,c5a.xlarge,8 GiB,4 vCPUs,EBS only,Up to 10 Gigabit,$0.236 hourly,$0.149 hourly,$0.0964 hourly,$0.42 hourly,$0.333 hourly
C5A Double Extra Large,c5a.2xlarge,16 GiB,8 vCPUs,EBS only,Up to 10 Gigabit,$0.472 hourly,$0.297 hourly,$0.1997 hourly,$0.84 hourly,$0.665 hourly
C5A Quadruple Extra Large,c5a.4xlarge,32 GiB,16 vCPUs,EBS only,Up to 10 Gigabit,$0.944 hourly,$0.595 hourly,$0.3611 hourly,$1.68 hourly,$1.331 hourly
C5A Eight Extra Large,c5a.8xlarge,64 GiB,32 vCPUs,EBS only,10 Gigabit,$1.888 hourly,$1.189 hourly,$0.8508 hourly,$3.36 hourly,$2.661 hourly
C5A 12xlarge Extra Large,c5a.12xlarge,96 GiB,48 vCPUs,EBS only,12 Gigabit,$2.832 hourly,$1.784 hourly,$1.9677 hourly,$5.04 hourly,$3.992 hourly
C5A 16xlarge Extra Large,c5a.16xlarge,128 GiB,64 vCPUs,EBS only,20 Gigabit,$3.776 hourly,$2.379 hourly,$1.8819 hourly,$6.72 hourly,$5.323 hourly
C5A 24xlarge,c5a.24xlarge,192 GiB,96 vCPUs,EBS only,20 Gigabit,$5.664 hourly,$3.568 hourly,$3.0404 hourly,$10.08 hourly,$7.984 hourly
C5AD Large,c5ad.large,4 GiB,2 vCPUs,75 GB NVMe SSD,Up to 10 Gigabit,$0.134 hourly,$0.084 hourly,$0.0411 hourly,$0.226 hourly,$0.176 hourly
C5AD Extra Large,c5ad.xlarge,8 GiB,4 vCPUs,150 GB NVMe SSD,Up to 10 Gigabit,$0.268 hourly,$0.169 hourly,$0.0775 hourly,$0.452 hourly,$0.353 hourly
C5AD Double Extra Large,c5ad.2xlarge,16 GiB,8 vCPUs,300 GB NVMe SSD,Up to 10 Gigabit,$0.536 hourly,$0.338 hourly,$0.2098 hourly,$0.904 hourly,$0.706 hourly
C5AD Quadruple Extra Large,c5ad.4xlarge,32 GiB,16 vCPUs,600 GB (2×300 GB NVMe SSD),Up to 10 Gigabit,$1.072 hourly,$0.675 hourly,$0.5236 hourly,$1.808 hourly,$1.411 hourly
C5AD Eight Extra Large,c5ad.8xlarge,64 GiB,32 vCPUs,1200 GB (2×600 GB NVMe SSD),10 Gigabit,$2.144 hourly,$1.351 hourly,$1.2657 hourly,$3.616 hourly,$2.823 hourly
C5AD 12xlarge Extra Large,c5ad.12xlarge,96 GiB,48 vCPUs,1800 GB (2×900 GB NVMe SSD),12 Gigabit,$3.216 hourly,$2.026 hourly,$1.9701 hourly,$5.424 hourly,$4.234 hourly
C5AD 16xlarge Extra Large,c5ad.16xlarge,128 GiB,64 vCPUs,2400 GB (2×1200 GB NVMe SSD),20 Gigabit,$4.288 hourly,$2.701 hourly,$2.4634 hourly,$7.232 hourly,$5.645 hourly
C5AD 24xlarge,c5ad.24xlarge,192 GiB,96 vCPUs,3800 GB (2×1900 GB NVMe SSD),20 Gigabit,$6.432 hourly,$4.052 hourly,$3.7681 hourly,$10.848 hourly,$8.468 hourly
C5 High-CPU Large,c5d.large,4 GiB,2 vCPUs,50 GB NVMe SSD,Up to 10 Gigabit,$0.149 hourly,$0.094 hourly,$0.0346 hourly,$0.241 hourly,$0.186 hourly
C5 High-CPU Extra Large,c5d.xlarge,8 GiB,4 vCPUs,100 GB NVMe SSD,Up to 10 Gigabit,$0.298 hourly,$0.188 hourly,$0.0992 hourly,$0.482 hourly,$0.372 hourly
C5 High-CPU Double Extra Large,c5d.2xlarge,16 GiB,8 vCPUs,200 GB NVMe SSD,Up to 10 Gigabit,$0.596 hourly,$0.375 hourly,$0.1332 hourly,$0.964 hourly,$0.743 hourly
C5 High-CPU Quadruple Extra Large,c5d.4xlarge,32 GiB,16 vCPUs,400 GB NVMe SSD,Up to 10 Gigabit,$1.192 hourly,$0.751 hourly,$0.34 hourly,$1.928 hourly,$1.487 hourly
C5 High-CPU 9xlarge,c5d.9xlarge,72 GiB,36 vCPUs,900 GB NVMe SSD,12 Gigabit,$2.682 hourly,$1.69 hourly,$1.3453 hourly,$4.338 hourly,$3.346 hourly
C5 High-CPU 12xlarge Extra Large,c5d.12xlarge,96 GiB,48 vCPUs,1800 GB (2×900 GB NVMe SSD),12 Gigabit,$3.576 hourly,$2.253 hourly,$2.4937 hourly,$5.784 hourly,$4.461 hourly
C5 High-CPU 18xlarge,c5d.18xlarge,144 GiB,72 vCPUs,1800 GB (2×900 GB NVMe SSD),25 Gigabit,$5.364 hourly,$3.379 hourly,$3.3073 hourly,$8.676 hourly,$6.691 hourly
C5 High-CPU 24xlarge,c5d.24xlarge,192 GiB,96 vCPUs,3600 GB (4×900 GB NVMe SSD),25 Gigabit,$7.152 hourly,$4.506 hourly,$3.0741 hourly,$11.568 hourly,$8.922 hourly
C5 High-CPU Metal,c5d.metal,192 GiB,96 vCPUs,3600 GB (4×900 GB NVMe SSD),25 Gigabit,$7.152 hourly,$4.506 hourly,$0.7152 hourly,$11.568 hourly,$8.922 hourly
C5N Large,c5n.large,5.25 GiB,2 vCPUs,EBS only,Up to 25 Gigabit,$0.166 hourly,$0.105 hourly,$0.0488 hourly,$0.258 hourly,$0.105 hourly
C5N Extra Large,c5n.xlarge,10.5 GiB,4 vCPUs,EBS only,Up to 25 Gigabit,$0.332 hourly,$0.209 hourly,$0.1117 hourly,$0.516 hourly,$0.209 hourly
C5N Double Extra Large,c5n.2xlarge,21 GiB,8 vCPUs,EBS only,Up to 25 Gigabit,$0.664 hourly,$0.418 hourly,$0.1718 hourly,$1.032 hourly,$0.418 hourly
C5N Quadruple Extra Large,c5n.4xlarge,42 GiB,16 vCPUs,EBS only,Up to 25 Gigabit,$1.328 hourly,$0.837 hourly,$0.3768 hourly,$2.064 hourly,$1.573 hourly
C5N 9xlarge,c5n.9xlarge,96 GiB,36 vCPUs,EBS only,50 Gigabit,$2.988 hourly,$1.882 hourly,$0.4101 hourly,$4.644 hourly,$1.882 hourly
C5N 18xlarge,c5n.18xlarge,192 GiB,72 vCPUs,EBS only,100 Gigabit,$5.976 hourly,$3.765 hourly,$0.7947 hourly,$9.288 hourly,$3.765 hourly
C5N Metal,c5n.metal,192 GiB,72 vCPUs,EBS only,100 Gigabit,$5.976 hourly,$3.765 hourly,$0.5976 hourly,$9.288 hourly,$7.077 hourly
C6A Large,c6a.large,4 GiB,2 vCPUs,EBS only,Up to 12.5 Gigabit,$0.1179 hourly,$0.0779 hourly,$0.0412 hourly,$0.2099 hourly,$0.1699 hourly
C6A Extra Large,c6a.xlarge,8 GiB,4 vCPUs,EBS only,Up to 12.5 Gigabit,$0.2358 hourly,$0.1557 hourly,$0.0813 hourly,$0.4198 hourly,$0.3397 hourly
C6A Double Extra Large,c6a.2xlarge,16 GiB,8 vCPUs,EBS only,Up to 12.5 Gigabit,$0.4716 hourly,$0.3115 hourly,$0.192 hourly,$0.8396 hourly,$0.6795 hourly
C6A Quadruple Extra Large,c6a.4xlarge,32 GiB,16 vCPUs,EBS only,Up to 12.5 Gigabit,$0.9432 hourly,$0.6229 hourly,$0.0982 hourly,$1.6792 hourly,$1.3589 hourly
