Name,API Name,Instance Memory,vCPUs,Instance Storage,Network Performance,On Demand,Linux Reserved cost,Linux Spot Minimum cost,Windows On Demand cost,Windows Reserved cost
A1 Medium,a1.medium,2 GiB,1 vCPUs,EBS only,Up to 10 Gigabit,$0.0128 hourly / GiB,$0.0081 hourly / GiB,$0.0128 hourly / GiB,unavailable,unavailable
A1 Large,a1.large,4 GiB,2 vCPUs,EBS only,Up to 10 Gigabit,$0.0128 hourly / GiB,$0.008 hourly / GiB,$0.0128 hourly / GiB,unavailable,unavailable
A1 Extra Large,a1.xlarge,8 GiB,4 vCPUs,EBS only,Up to 10 Gigabit,$0.0128 hourly / GiB,$0.008 hourly / GiB,$0.0128 hourly / GiB,unavailable,unavailable
A1 Double Extra Large,a1.2xlarge,16 GiB,8 vCPUs,EBS only,Up to 10 Gigabit,$0.0128 hourly / GiB,$0.008 hourly / GiB,$0.0128 hourly / GiB,unavailable,unavailable
A1 Quadruple Extra Large,a1.4xlarge,32 GiB,16 vCPUs,EBS only,Up to 10 Gigabit,$0.0128 hourly / GiB,$0.008 hourly / GiB,$0.0128 hourly / GiB,unavailable,unavailable
A1 Metal,a1.metal,32 GiB,16 vCPUs,EBS only,Up to 10 Gigabit,$0.0128 hourly / GiB,$0.008 hourly / GiB,$0.0128 hourly / GiB,unavailable,unavailable
C1 High-CPU Medium,c1.medium,1.7 GiB,2 vCPUs,350 GB HDD,Moderate,$0.0765 hourly / GiB,$0.0535 hourly / GiB,$0.0263 hourly / GiB,$0.1235 hourly / GiB,$0.1053 hourly / GiB
C1 High-CPU Extra Large,c1.xlarge,7 GiB,8 vCPUs,1680 GB (4×420 GB HDD),High,$0.0743 hourly / GiB,$0.052 hourly / GiB,$0.0304 hourly / GiB,$0.12 hourly / GiB,$0.1027 hourly / GiB
C3 High-CPU Large,c3.large,3.75 GiB,2 vCPUs,32 GB (2×16 GB SSD),Moderate,$0.028 hourly / GiB,$0.0195 hourly / GiB,$0.0104 hourly / GiB,$0.0501 hourly / GiB,$0.044 hourly / GiB
C3 High-CPU Extra Large,c3.xlarge,7.5 GiB,4 vCPUs,80 GB (2×40 GB SSD),Moderate,$0.028 hourly / GiB,$0.0195 hourly / GiB,$0.0113 hourly / GiB,$0.0501 hourly / GiB,$0.0439 hourly / GiB
C3 High-CPU Double Extra Large,c3.2xlarge,15 GiB,8 vCPUs,160 GB (2×80 GB SSD),High,$0.028 hourly / GiB,$0.0195 hourly / GiB,$0.0121 hourly / GiB,$0.0501 hourly / GiB,$0.0438 hourly / GiB
C3 High-CPU Quadruple Extra Large,c3.4xlarge,30 GiB,16 vCPUs,320 GB (2×160 GB SSD),High,$0.028 hourly / GiB,$0.0195 hourly / GiB,$0.0108 hourly / GiB,$0.0501 hourly / GiB,$0.0439 hourly / GiB
C3 High-CPU Eight Extra Large,c3.8xlarge,60 GiB,32 vCPUs,640 GB (2×320 GB SSD),10 Gigabit,$0.028 hourly / GiB,$0.0195 hourly / GiB,$0.01 hourly / GiB,$0.0501 hourly / GiB,$0.0438 hourly / GiB
C4 High-CPU Large,c4.large,3.75 GiB,2 vCPUs,EBS only,Moderate,$0.0267 hourly / GiB,$0.0168 hourly / GiB,$0.0099 hourly / GiB,$0.0512 hourly / GiB,$0.0413 hourly / GiB
